Station Code,Latitude,Longitude
NZM,28.5913871,77.2418643
IPL,10.0236761,76.3116235
IPM,19.1174139,84.6845216
KTU,10.8423085,76.0304873
SDB,17.13,76.93
BBQ,13.1065397,80.2753393
BBS,20.2960587,85.8245398
MYA,12.5221567,76.9009191
KTHU,32.3865,75.5173
SMBX,32.553,75.1108
YPR,13.0279661,77.5409156
UHP,33.04225,75.11375
JSG,21.8554,84.0062
AB,12.7903613,78.7166084
AD,15.6322227,77.2728368
BINA,24.1763374,78.1963404
MYS,12.2958104,76.6393805
BCH,22.5573256,76.0217831
KUR,20.1703784,85.7058693
AK,20.7227945,77.005081
AN,21.0419208,75.0581943
DGR,23.5204443,87.3119227
SEG,20.7927132,76.6943283
SEH,23.205012,77.0850781
JTJ,12.5540754,78.5717631
BD,20.8576751,77.731569
MZR,25.1336987,82.5644344
KVP,13.3594177,80.1400671
G,21.4620115,80.1919916
RMGM,12.7094487,77.2807423
BDJ,11.608495,75.5917092
DHO,26.7025181,77.893391
J,19.8296893,75.8800305
GNT,16.3066525,80.4365402
KVZ,14.9131806,79.9929798
R,21.2513844,81.6296413
VLK,13.1090452,80.2049407
BDY,12.0483,78.3074
UJN,23.1781665,75.7792277
RDM,18.7518652,79.5133701
VLT,12.889377,78.840663
CD,19.9704597,79.3014845
EKM,13.3150251,79.567368
KWV,18.0922214,75.416631
VMA,19.7972614,73.0955645
SGE,11.4499169,77.875753
TIG,20.28709,83.1466077
CGY,9.4458875,76.5409655
SSPN,19.128586,72.8703851
GPD,13.4069483,80.1102998
TIR,10.9146271,75.9220929
DD,18.4640056,74.5789146
PAR,21.5925296,78.5291706
CHE,18.297,83.8968
DG,10.353943,77.986084
GDYA,22.1240168,77.9995589
PAU,19.1809797,77.0256803
ADI,23.022505,72.5713621
SGZ,24.1883179,75.6352989
PAZ,12.0189004,75.2588184
PAY,12.1050687,75.2058336
HRR,14.5304566,75.8010962
ELR,13.4628135,80.1191296
DR,19.021324,72.8424178
CHV,12.2165159,75.1626153
PLNI,10.4489188,77.5209392
SHM,22.5565,88.3148
KYJ,9.1824314,76.5125892
PBN,19.2576763,76.7737167
ED,11.3287349,77.7257605
EE,16.7106604,81.0952431
KYN,19.236249,73.130225
SHU,13.1115847,79.4310052
DKJ,17.4450837,80.1527401
TKD,28.5048843,77.2739385
ET,22.6054858,77.753544
MJRI,20.1257549,79.032016
BGZ,28.6924464,76.9239727
KZE,12.332473,75.0961549
KZJ,17.9747686,79.5112251
BHC,21.0582737,86.4958396
KZK,8.5710316,76.8663307
FK,11.1765652,75.8314146
AFK,10.1849092,76.3753046
FL,26.873361,75.246084
ENR,13.2145944,80.3202929
VSKP,17.6868159,83.2184815
MVLK,9.2384874,76.5314817
BHS,23.5251102,77.8081363
WRR,20.2406535,79.0136475
SJP,23.3882023,76.7163359
TUVR,9.777619,76.312813
VPT,9.5680116,77.9624435
BID,12.7984219,77.3872174
AGC,27.1540265,78.0146364
TLY,11.7532878,75.4928777
BIH,23.6642737,77.5361462
CKI,10.3080272,76.3336779
HUP,13.8185378,77.4988753
DMN,20.7933224,78.1393397
WSA,20.6245213,79.9610674
DMM,14.4137447,77.7126189
WADI,17.0624325,76.9815877
CKP,22.6765454,85.6254997
RASP,11.442882,78.1792434
GR,17.329731,76.8342957
NAB,20.5846349,79.6810815
NAD,23.4557842,75.4128034
GY,15.1229477,77.6325593
SKM,15.2500044,80.0212291
MABD,17.5975284,80.0015307
DNA,26.8973334,74.3175209
PEL,20.593684,78.96288
PER,13.1160178,80.2316646
GTL,15.1737996,77.3698103
HG,17.56513,75.98974
TMZ,22.2787843,87.9187711
AHH,30.6795612,75.8243427
KSNG,20.1850477,83.2104426
HVR,14.7959027,75.3971254
TNA,19.2183307,72.9780897
CLR,15.3971903,74.3382187
CLT,11.2587531,75.78041
CLX,15.8135755,80.3547286
ODC,10.4858111,77.7463969
HX,14.4673541,78.8241339
PNVL,18.9894007,73.1175162
SLO,17.0453224,82.1691189
RJN,21.0971034,81.0302222
TNP,13.1272176,80.2900293
HWH,22.5839456,88.3434068
RJP,14.1965314,79.1563718
NGNT,16.3093673,80.4571595
MRGA,16.8753106,79.5659633
DHNE,15.3953375,77.8681195
RJY,17.0005383,81.8040345
BKN,28.0229348,73.3119159
GUR,20.0236675,73.722971
AIP,13.2620818,80.2795195
DINR,10.2858482,76.3368139
VSG,15.3860329,73.8440398
MAD,12.5839436,77.0434934
SRTL,9.6836368,76.3365377
PGI,11.060506,75.8507818
NCJ,8.174938,77.44391
DPA,23.5204443,87.3119227
BRGA,21.3329449,83.6432228
RKM,27.1940705,77.9968827
CNB,26.4538551,80.3511947
CHPT,9.4175678,77.6006245
JEUR,18.260227,75.1632937
MAO,15.2832187,73.986191
MAN,22.9961698,72.5995843
PGT,10.7867303,76.6547932
MAQ,12.9141417,74.8559568
MAP,12.1280578,78.3913328
MAS,13.0821888,80.2755083
ERN,9.9816358,76.2998842
AJJ,13.0817771,79.668103
PGW,31.2171949,75.7654978
JL,21.0182435,75.5629677
JP,26.9124336,75.7872709
ERS,9.9697584,76.290888
BLS,21.4869337,86.9246005
AJU,20.8228377,80.0227514
NDB,21.7468548,74.123996
KRNT,15.8281257,78.0372792
TPJ,10.7904833,78.7046725
NDD,16.9016205,81.6637765
HYB,17.4027421,78.4524591
RLO,15.055672,77.8167146
RGDA,19.3579153,83.5070203
GWD,16.2336589,77.8081363
NDO,16.0630862,80.5619671
TPT,12.5080698,78.5701749
SNV,21.0861061,80.0961102
TRTR,9.9486828,76.3463624
PHR,31.016917,75.786027
GWL,26.2182871,78.1828308
KK,18.5699361,73.8506427
AKM,13.5426818,80.0690056
KO,16.9877611,77.7169224
AKP,17.6895915,82.9977331
RMA,24.6495542,75.9434209
AKV,21.6264236,73.0151984
NED,19.1382514,77.3209555
ORAI,26.00864,79.4478858
MCI,18.8755953,79.4591378
OGL,15.5057232,80.049922
BNC,12.9591453,77.6481661
LD,15.4490072,74.496447
MCN,12.97806,79.28916
ALD,25.4358011,81.846311
LAR,24.6878597,78.4120206
CPP,18.3120536,83.5696325
CPR,25.7878258,84.7237049
CPT,12.6492422,77.2002745
QLD,11.4446468,75.6935323
SPE,13.70215,80.0180717
ADRA,23.4958949,86.6762176
TRL,13.1444426,79.8940078
QLN,8.8932118,76.6141396
TRVL,9.3834522,76.574057
QLM,15.3318441,74.239942
MA,18.0339662,75.5160676
SPT,18.9456083,84.582481
